,Open,High,Low,Close
,25746.03,25785.53,25477.69,25530.11
,25488.42,25542.47,25256.79,25310.33
,25299.34,25316.95,25012.22,25036.05
,25136.71,25289.58,25034.14,25252.32
,25281.77,25316.14,24930.43,25044.43
,24935.6,25194.15,24867.73,25150.35
,25186.68,25342.78,25075.54,25320.44
,25402.47,25572.9,25372.47,25494.37
,25596.63,25831.31,25448.32,25803.78
,25764.67,25789.51,25481.51,25519.22
,25425.32,25757.84,25413.54,25735.9
,25731.07,25787.21,25485.17,25590.65
,25697.66,25875.27,25689.7,25850.3
,25893.84,25922.47,25763.4,25838.71
,25858.52,26073.41,25856.86,26034.13
,26075.68,26133.78,25994.45,26079.48
,26123.87,26130.2,25939.25,25960.03
,25980.86,26147.63,25941.91,26117.54
,26101.5,26197.27,26008.2,26160.9
,26116.52,26116.52,25596.57,25623.35
,25744.7,25766.76,25513.75,25580.34
,25628.23,25632.57,25357.7,25406.33
,25224.7,25230.35,24825.7,24851.83
,24969.02,25083.55,24887.22,24934.33
,24787.11,24961.88,24598.9,24825.04
,24862.93,24882.3,24597.11,24682.03
,24804.64,24956.54,24387.69,24854.11
,24606.2,25018.46,24473.22,24772.97
,24881.76,24912.64,24421.53,24455.04
,24400.78,24524.85,24141.99,24188.37
,24257.28,24563.34,24247.23,24479.84
,24325.77,24325.77,23839.76,24062.04
,24194.75,24351.83,23862,23962.21
,24122.06,24472.88,24120.04,24435.66
,24540.97,24650.57,24433.67,24485.95
,24643.13,24645.7,24458.13,24492.39
,24481.86,24587.2,24400.52,24469.57
,24347.31,24911.9,24340.06,24870.69
,24982.22,25002.32,24788.58,24824.83
,24868.21,24928.75,24460.53,24539
,24393.59,24409.26,24187.54,24223.32
,24386.45,24514.01,24224.74,24338.43
,24360.36,24672.9,24345.79,24616.97
,24637.41,24698.95,24196.84,24287.42
,24076.85,24111.19,23919.47,24020.98
,23938.32,23938.32,23636.72,23758.9
,23758.46,23758.46,22909.12,22951.83
,23060.39,23161.15,22600.39,22986.12
,23223.43,23622.64,23197.67,23554.12
,23688.61,23692.08,23164.54,23191.97
,23237.23,23434.91,22920.84,23381.87
,23536.47,23735.35,23448.21,23649.22
,23640.32,23774.48,23508.36,23709.15
,23783.47,23855.04,23674.86,23788.79
,23850.41,23851.51,23361.94,23410.18
,23332.94,23338.89,23057.45,23088.93
,23105.16,23142.96,22948.1,22976
,23141.08,23227.91,23021.94,23154.3
,23238.5,23343.22,22494.61,23002
,23153.32,23821.49,23133.18,23779.35
,24044.96,24280.42,24043.89,24242.98
,24386.67,24640.51,24383.28,24606.99
,24704.59,24719.05,24531.8,24646.48
,24655.19,24793.62,24509.21,24659.23
,24527.27,24820.76,24451.6,24793.96
,24815.7,24817.48,24471.39,24623.34
,24620.39,24817.8,24552.26,24717.99
,24801.7,24960.51,24734.04,24804.28
,24832.04,24840.77,24517.28,24551.17
,24537.61,24706.85,24354.55,24682.48
,24852.18,24948.3,24576.52,24677.37
,24729.41,24986.94,24681.64,24952.74
,25007.56,25327.45,24988.27,25285.37
,25331.01,25381.33,25083.7,25330.49
,25322.1,25367.81,25156.82,25337.56
